"Tabela 5442 - Rendimento médio real, habitualmente recebido por mês e efetivamente recebido no mês de referência, do trabalho principal, por grupamentos de atividade no trabalho principal"
"Variável - Rendimento médio real do trabalho principal, habitualmente recebido por mês, pelas pessoas de 14 anos ou mais de idade, ocupadas na semana de referência, com rendimento de trabalho (Reais)"
"Grupamento de atividades no trabalho principal - PNADC";"Brasil, Grande Região e Unidade da Federação";"Trimestre";""
"Total";"Espírito Santo";"1º trimestre 2019";"2459"
"Total";"Espírito Santo";"2º trimestre 2019";"2388"
"Total";"Espírito Santo";"3º trimestre 2019";"2431"
"Total";"Espírito Santo";"4º trimestre 2019";"2447"
"Total";"Espírito Santo";"1º trimestre 2020";"2461"
"Total";"Espírito Santo";"2º trimestre 2020";"2521"
"Total";"Espírito Santo";"3º trimestre 2020";"2476"
"Total";"Espírito Santo";"4º trimestre 2020";"2431"
"Total";"Espírito Santo";"1º trimestre 2021";"2445"
"Total";"Espírito Santo";"2º trimestre 2021";"2344"
"Total";"Espírito Santo";"3º trimestre 2021";"2385"
"Total";"Espírito Santo";"4º trimestre 2021";"2393"
"Total";"Rio de Janeiro";"1º trimestre 2018";"2765"
"Total";"Rio de Janeiro";"2º trimestre 2018";"2893"
"Total";"Rio de Janeiro";"3º trimestre 2018";"2909"
"Total";"Rio de Janeiro";"4º trimestre 2018";"2936"
"Total";"Rio de Janeiro";"1º trimestre 2019";"2990"
"Total";"Rio de Janeiro";"2º trimestre 2019";"2974"
"Total";"Rio de Janeiro";"3º trimestre 2019";"3029"
"Total";"Rio de Janeiro";"4º trimestre 2019";"3067"
"Total";"Rio de Janeiro";"1º trimestre 2020";"3127"
"Total";"Rio de Janeiro";"2º trimestre 2020";"3368"
"Total";"Rio de Janeiro";"3º trimestre 2020";"3473"
"Total";"Rio de Janeiro";"4º trimestre 2020";"3365"
"Total";"Rio de Janeiro";"1º trimestre 2021";"3349"
"Total";"Rio de Janeiro";"2º trimestre 2021";"3231"
"Total";"Rio de Janeiro";"3º trimestre 2021";"2878"
"Total";"Rio de Janeiro";"4º trimestre 2021";"2854"
"Total";"São Paulo";"1º trimestre 2018";"3288"
"Total";"São Paulo";"2º trimestre 2018";"3309"
"Total";"São Paulo";"3º trimestre 2018";"3288"
"Total";"São Paulo";"4º trimestre 2018";"3303"
"Total";"São Paulo";"1º trimestre 2019";"3272"
"Total";"São Paulo";"2º trimestre 2019";"3243"
"Total";"São Paulo";"3º trimestre 2019";"3247"
"Total";"São Paulo";"4º trimestre 2019";"3254"
"Total";"São Paulo";"1º trimestre 2020";"3356"
"Total";"São Paulo";"2º trimestre 2020";"3461"
"Total";"São Paulo";"3º trimestre 2020";"3624"
"Total";"São Paulo";"4º trimestre 2020";"3366"
"Total";"São Paulo";"1º trimestre 2021";"3268"
"Total";"São Paulo";"2º trimestre 2021";"3145"
"Total";"São Paulo";"3º trimestre 2021";"3053"
"Total";"São Paulo";"4º trimestre 2021";"2868"
"Total";"Paraná";"1º trimestre 2018";"2806"
"Total";"Paraná";"2º trimestre 2018";"2779"
"Total";"Paraná";"3º trimestre 2018";"2829"
"Total";"Paraná";"4º trimestre 2018";"2890"
"Total";"Paraná";"1º trimestre 2019";"2966"
"Total";"Paraná";"2º trimestre 2019";"2856"
"Total";"Paraná";"3º trimestre 2019";"2897"
"Total";"Paraná";"4º trimestre 2019";"2916"
"Total";"Paraná";"1º trimestre 2020";"2891"
"Total";"Paraná";"2º trimestre 2020";"2962"
"Total";"Paraná";"3º trimestre 2020";"2974"
"Total";"Paraná";"4º trimestre 2020";"3078"
"Total";"Paraná";"1º trimestre 2021";"2995"
"Total";"Paraná";"2º trimestre 2021";"2787"
"Total";"Paraná";"3º trimestre 2021";"2631"
"Total";"Paraná";"4º trimestre 2021";"2627"
"Total";"Santa Catarina";"1º trimestre 2018";"2860"
"Total";"Santa Catarina";"2º trimestre 2018";"2831"
"Total";"Santa Catarina";"3º trimestre 2018";"2843"
"Total";"Santa Catarina";"4º trimestre 2018";"2878"
"Total";"Santa Catarina";"1º trimestre 2019";"2884"
"Total";"Santa Catarina";"2º trimestre 2019";"2853"
"Total";"Santa Catarina";"3º trimestre 2019";"2899"
"Total";"Santa Catarina";"4º trimestre 2019";"2910"
"Total";"Santa Catarina";"1º trimestre 2020";"2905"
"Total";"Santa Catarina";"2º trimestre 2020";"3029"
"Total";"Santa Catarina";"3º trimestre 2020";"3034"
"Total";"Santa Catarina";"4º trimestre 2020";"3037"
"Total";"Santa Catarina";"1º trimestre 2021";"3063"
"Total";"Santa Catarina";"2º trimestre 2021";"2974"
"Total";"Santa Catarina";"3º trimestre 2021";"2864"
"Total";"Santa Catarina";"4º trimestre 2021";"2768"
"Total";"Rio Grande do Sul";"1º trimestre 2018";"2812"
"Total";"Rio Grande do Sul";"2º trimestre 2018";"2823"
"Total";"Rio Grande do Sul";"3º trimestre 2018";"2777"
"Total";"Rio Grande do Sul";"4º trimestre 2018";"2831"
"Total";"Rio Grande do Sul";"1º trimestre 2019";"2891"
"Total";"Rio Grande do Sul";"2º trimestre 2019";"2855"
"Total";"Rio Grande do Sul";"3º trimestre 2019";"2867"
"Total";"Rio Grande do Sul";"4º trimestre 2019";"2872"
"Total";"Rio Grande do Sul";"1º trimestre 2020";"2855"
"Total";"Rio Grande do Sul";"2º trimestre 2020";"2914"
"Total";"Rio Grande do Sul";"3º trimestre 2020";"3077"
"Total";"Rio Grande do Sul";"4º trimestre 2020";"2922"
"Total";"Rio Grande do Sul";"1º trimestre 2021";"3013"
"Total";"Rio Grande do Sul";"2º trimestre 2021";"2878"
"Total";"Rio Grande do Sul";"3º trimestre 2021";"2821"
"Total";"Rio Grande do Sul";"4º trimestre 2021";"2704"
"Total";"Mato Grosso do Sul";"1º trimestre 2018";"2645"
"Total";"Mato Grosso do Sul";"2º trimestre 2018";"2665"
"Total";"Mato Grosso do Sul";"3º trimestre 2018";"2699"
"Total";"Mato Grosso do Sul";"4º trimestre 2018";"2667"
"Total";"Mato Grosso do Sul";"1º trimestre 2019";"2741"
"Total";"Mato Grosso do Sul";"2º trimestre 2019";"2643"
"Total";"Mato Grosso do Sul";"3º trimestre 2019";"2619"
"Total";"Mato Grosso do Sul";"4º trimestre 2019";"2659"
"Total";"Mato Grosso do Sul";"1º trimestre 2020";"2579"
