"Tabela 4093 - Pessoas de 14 anos ou mais de idade, total, na força de trabalho, ocupadas, desocupadas, fora da força de trabalho, e respectivas taxas e níveis, por sexo"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Trimestre x Sexo"
"Brasil, Grande Região e Unidade da Federação";"1º trimestre 2018";"2º trimestre 2018";"3º trimestre 2018";"4º trimestre 2018";"1º trimestre 2019";"2º trimestre 2019";"3º trimestre 2019";"4º trimestre 2019";"1º trimestre 2020";"2º trimestre 2020";"3º trimestre 2020";"4º trimestre 2020";"1º trimestre 2021";"2º trimestre 2021";"3º trimestre 2021";"4º trimestre 2021"
"Brasil, Grande Região e Unidade da Federação";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total"
"Sergipe";"857";"850";"855";"903";"898";"932";"934";"957";"912";"...";"...";"...";"...";"...";"...";"..."
"Bahia";"5693";"5699";"5892";"5793";"5765";"5857";"5862";"5867";"5748";"...";"...";"...";"...";"...";"...";"..."
"Minas Gerais";"9780";"10051";"10175";"10131";"9926";"10293";"10334";"10363";"9967";"...";"...";"...";"...";"...";"...";"..."
"Espírito Santo";"1811";"1844";"1882";"1900";"1888";"1960";"1943";"1948";"1912";"...";"...";"...";"...";"...";"...";"..."
"Rio de Janeiro";"7487";"7475";"7563";"7589";"7604";"7589";"7685";"7761";"7629";"...";"...";"...";"...";"...";"...";"..."
"São Paulo";"21826";"21915";"22234";"22390";"22322";"22696";"22918";"23014";"22502";"...";"...";"...";"...";"...";"...";"..."
"Paraná";"5433";"5451";"5511";"5593";"5548";"5576";"5613";"5671";"5598";"...";"...";"...";"...";"...";"...";"..."
"Santa Catarina";"3617";"3600";"3645";"3689";"3635";"3677";"3695";"3767";"3674";"...";"...";"...";"...";"...";"...";"..."
"Rio Grande do Sul";"5536";"5500";"5533";"5664";"5668";"5714";"5657";"5819";"5668";"...";"...";"...";"...";"...";"...";"..."
"Mato Grosso do Sul";"1287";"1294";"1327";"1337";"1295";"1338";"1329";"1336";"1295";"...";"...";"...";"...";"...";"...";"..."
"Mato Grosso";"1568";"1606";"1652";"1672";"1656";"1699";"1707";"1703";"1684";"...";"...";"...";"...";"...";"...";"..."
"Goiás";"3292";"3320";"3343";"3384";"3344";"3366";"3426";"3431";"3331";"...";"...";"...";"...";"...";"...";"..."
"Distrito Federal";"1388";"1427";"1449";"1461";"1438";"1462";"1472";"1463";"1449";"...";"...";"...";"...";"...";"...";"..."
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua trimestral"

"Tabela 4093 - Pessoas de 14 anos ou mais de idade, total, na força de trabalho, ocupadas, desocupadas, fora da força de trabalho, e respectivas taxas e níveis, por sexo"
"Variável - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Trimestre x Sexo"
"Brasil, Grande Região e Unidade da Federação";"1º trimestre 2018";"2º trimestre 2018";"3º trimestre 2018";"4º trimestre 2018";"1º trimestre 2019";"2º trimestre 2019";"3º trimestre 2019";"4º trimestre 2019";"1º trimestre 2020";"2º trimestre 2020";"3º trimestre 2020";"4º trimestre 2020";"1º trimestre 2021";"2º trimestre 2021";"3º trimestre 2021";"4º trimestre 2021"
"Brasil, Grande Região e Unidade da Federação";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total"
